No,Time,LHe(%),ShieldTemp(K),CH Temp(K),Pressure(Pa),HeaterPower(W),MagField,B0Heater,PressHeater,LHeWarn,LHeAlarm,Sh.TempWarn,Sh.TempAlarm,CHTempWarn,CHTempAlarm,PressHigh,PressLow,PS_Err,BattErr,ERDU_SW_Err,ERDU_HtrErr,B0HtrErr, PressSnsErr, PressHtrErr,MagSensorErr,PressHtrAlarm
1,2020/1/3 3:53,0,----,5,----,0,OFF,OFF,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020/1/3 4:21,5,----,5.3,8847,0.03 ,ON,OFF,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020/1/4 2:00,10,120.5,5.5,8397,0.13 ,OFF,ON,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020/1/5 2:00,15,115.2,5.7,7682,0.24,OFF,OFF,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020/1/6 2:00,20,109.9,5.9,6750,0.50 ,OFF,OFF,OFF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2020/1/6 7:06,25,104.6,6,5665,0.74 ,OFF,OFF,OFF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2020/1/6 13:32,30,99.3,6,4500,1.00 ,OFF,OFF,OFF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020/1/6 22:07,35,94,6,3335,1.26 ,OFF,OFF,OFF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020/1/7 2:00,40,88.7,5.9,2250,----,OFF,OFF,OFF,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,2020/1/7 5:26,45,83.4,5.7,1318,1.71 ,OFF,OFF,OFF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2020/1/7 13:11,50,78.1,5.5,603,1.87 ,OFF,OFF,OFF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,2020/1/7 21:11,55,72.8,5.3,153,1.97 ,OFF,OFF,OFF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,2020/1/8 2:00,60,67.5,5,0,2.00 ,OFF,OFF,OFF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,2020/1/8 6:24,65,62.2,4.7,153,1.97 ,OFF,OFF,OFF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2020/1/8 13:08,70,56.9,4.5,603,1.87 ,OFF,OFF,OFF,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,2020/1/8 21:21,75,51.6,4.3,1318,1.71 ,OFF,OFF,OFF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,2020/1/9 2:00,80,46.3,4.1,2250,----,OFF,OFF,OFF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,2020/1/9 6:16,85,41,4,3335,1.26 ,OFF,OFF,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,2020/1/9 13:08,90,35.7,4,4500,1.00 ,OFF,OFF,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,2020/1/9 21:43,95,30.4,4,5665,0.74 ,OFF,OFF,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,2020/1/10 2:00,100,25.1,4.1,6750,0.50 ,OFF,OFF,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,2020/1/10 6:15,100,19.8,4.3,7682,0.24,ON,OFF,ON,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
23,2020/1/10 13:07,----,14.5,4.5,8397,0.13 ,OFF,ON,OFF,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
23,2020/1/10 17:19,----,9.2,4.7,----,0.03 ,ON,ON,ON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,2000/00/00 00:00:00,0,0,0,0,0,OFF,OFF,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
